         50343999 function calls (50336476 primitive calls) in 552.551 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1333(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1355(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1413(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:184(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:221(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:278(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:297(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:341(_OrderedChainMap)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:398(__init__)
        6    0.000    0.000    0.000    0.000 case.py:430(addTypeEqualityFunc)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        1    0.000    0.000    0.000    0.000 category.py:109(StrCategoryLocator)
        4    0.000    0.000    0.000    0.000 category.py:111(__init__)
        1    0.000    0.000    0.000    0.000 category.py:12(<module>)
        1    0.000    0.000    0.000    0.000 category.py:127(StrCategoryFormatter)
        4    0.000    0.000    0.000    0.000 category.py:129(__init__)
        1    0.000    0.000    0.000    0.000 category.py:156(UnitData)
        1    0.000    0.000    0.000    0.000 category.py:157(__init__)
        2    0.000    0.000    0.000    0.000 category.py:171(update)
        1    0.000    0.000    0.000    0.000 category.py:23(StrCategoryConverter)
        1    0.000    0.000    0.000    0.000 category.py:24(convert)
        2    0.000    0.000    0.000    0.000 category.py:48(<genexpr>)
        4    0.000    0.000    0.000    0.000 category.py:61(axisinfo)
        1    0.000    0.000    0.001    0.001 category.py:85(default_units)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2109(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:88(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1345(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1396(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1401(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1404(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1407(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1412(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1415(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1418(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1433(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1436(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1439(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1442(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1445(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1452(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1457(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:163(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:217(HTTPResponse)
        1    0.000    0.000    0.020    0.020 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:779(HTTPConnection)
        1    0.000    0.000    0.000    0.000 cm.py:185(ScalarMappable)
        1    0.000    0.000    0.011    0.011 cm.py:19(<module>)
       33    0.000    0.000    0.000    0.000 cm.py:40(_reverser)
       31    0.000    0.000    0.000    0.000 cm.py:48(revcmap)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
       75    0.000    0.000    0.000    0.000 cm.py:65(_reverse_cmap_spec)
        2    0.000    0.000    0.000    0.000 cm.py:77(<listcomp>)
      150    0.000    0.000    0.008    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.000    0.000 cm.py:99(<dictcomp>)
       29    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
       29    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       97    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.027    0.027 collections.py:10(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:1026(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1091(StarPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1098(AsteriskPolygonCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1105(LineCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1297(EventCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1544(CircleCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1564(EllipseCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1658(PatchCollection)
        1    0.000    0.000    0.000    0.000 collections.py:1713(TriMesh)
        1    0.000    0.000    0.000    0.000 collections.py:1780(QuadMesh)
        1    0.000    0.000    0.000    0.000 collections.py:25(Collection)
        1    0.000    0.000    0.000    0.000 collections.py:837(_CollectionWithSizes)
        1    0.000    0.000    0.000    0.000 collections.py:886(PathCollection)
        1    0.000    0.000    0.000    0.000 collections.py:912(PolyCollection)
        1    0.000    0.000    0.000    0.000 collections.py:979(BrokenBarHCollection)
        1    0.000    0.000    0.000    0.000 colorbar.py:1058(Colorbar)
        1    0.000    0.000    0.000    0.000 colorbar.py:1485(ColorbarPatch)
        1    0.000    0.000    0.103    0.103 colorbar.py:20(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:218(_ColorbarAutoLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:248(_ColorbarAutoMinorLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:275(_ColorbarLogLocator)
        1    0.000    0.000    0.000    0.000 colorbar.py:307(ColorbarBase)
        1    0.000    0.000    0.000    0.000 colors.py:1068(SymLogNorm)
     1612    0.001    0.000    0.003    0.000 colors.py:116(_is_nth_color)
        1    0.000    0.000    0.000    0.000 colors.py:1186(PowerNorm)
      491    0.000    0.000    0.004    0.000 colors.py:121(is_color_like)
        1    0.000    0.000    0.000    0.000 colors.py:1252(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1338(NoNorm)
     1121    0.002    0.000    0.009    0.000 colors.py:150(to_rgba)
        1    0.000    0.000    0.000    0.000 colors.py:1510(LightSource)
      392    0.002    0.000    0.005    0.000 colors.py:184(_to_rgba_no_colorcycle)
      436    0.000    0.000    0.000    0.000 colors.py:204(<genexpr>)
     1335    0.001    0.000    0.001    0.000 colors.py:236(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:241(to_rgba_array)
        1    0.000    0.000    0.000    0.000 colors.py:306(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:427(Colormap)
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
        1    0.000    0.000    0.001    0.001 colors.py:61(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:632(LinearSegmentedColormap)
      126    0.000    0.000    0.000    0.000 colors.py:639(__init__)
       64    0.001    0.000    0.008    0.000 colors.py:713(from_list)
        1    0.000    0.000    0.000    0.000 colors.py:72(_ColorMapping)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:781(ListedColormap)
       38    0.000    0.000    0.000    0.000 colors.py:788(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:870(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:94(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:997(LogNorm)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        1    0.000    0.000    0.000    0.000 container.py:103(BarContainer)
        1    0.000    0.000    0.000    0.000 container.py:122(__init__)
        1    0.000    0.000    0.000    0.000 container.py:128(ErrorbarContainer)
        1    0.000    0.000    0.000    0.000 container.py:160(StemContainer)
        1    0.000    0.000    0.000    0.000 container.py:17(__new__)
        1    0.000    0.000    0.000    0.000 container.py:20(__init__)
        1    0.000    0.000    0.000    0.000 container.py:43(get_label)
        2    0.000    0.000    0.000    0.000 container.py:49(set_label)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        2    0.000    0.000    0.000    0.000 container.py:91(pchanged)
      145    0.000    0.000    0.003    0.000 contextlib.py:107(__enter__)
      145    0.000    0.000    0.001    0.000 contextlib.py:116(__exit__)
       16    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
      145    0.000    0.000    0.001    0.000 contextlib.py:237(helper)
      145    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.000    0.000 contour.py:1453(QuadContourSet)
        1    0.000    0.000    0.041    0.041 contour.py:3(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:37(ClabelText)
        1    0.000    0.000    0.000    0.000 contour.py:52(ContourLabeler)
        1    0.000    0.000    0.000    0.000 contour.py:738(ContourSet)
      430    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
      430    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
      430    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       15    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:1124(_DomainedBinaryOperation)
        6    0.000    0.000    0.000    0.000 core.py:1145(__init__)
        1    0.000    0.000    0.018    0.018 core.py:12(<module>)
        4    0.000    0.000    0.000    0.000 core.py:126(doc_note)
        1    0.000    0.000    0.000    0.000 core.py:1283(_replace_dtype_fields_recursive)
        1    0.000    0.000    0.000    0.000 core.py:1315(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 core.py:1329(make_mask_descr)
        3    0.000    0.000    0.000    0.000 core.py:1362(getmask)
       44    0.000    0.000    0.001    0.000 core.py:149(get_object_signature)
        1    0.000    0.000    0.018    0.018 core.py:151(load_base_library)
        1    0.000    0.000    0.000    0.000 core.py:157(iter_user_libraries)
        1    0.000    0.000    0.000    0.000 core.py:164(update_user_library)
        1    0.000    0.000    0.000    0.000 core.py:166(MAError)
       27    0.000    0.000    0.001    0.000 core.py:172(iter_style_files)
        1    0.000    0.000    0.000    0.000 core.py:174(MaskError)
        1    0.000    0.000    0.018    0.018 core.py:182(read_style_directory)
        1    0.000    0.000    0.000    0.000 core.py:206(<listcomp>)
        1    0.000    0.000    0.000    0.000 core.py:208(<listcomp>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:218(reload_library)
        1    0.000    0.000    0.000    0.000 core.py:2378(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2384(__init__)
        8    0.000    0.000    0.000    0.000 core.py:2551(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2596(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
        4    0.000    0.000    0.000    0.000 core.py:3350(dtype)
        2    0.000    0.000    0.000    0.000 core.py:3366(shape)
       26    0.000    0.000    0.000    0.000 core.py:55(is_style_file)
        2    0.000    0.000    0.000    0.000 core.py:599(filled)
        1    0.000    0.000    0.000    0.000 core.py:6060(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6256(MaskedConstant)
        4    0.000    0.000    0.000    0.000 core.py:6260(__has_singleton)
        1    0.000    0.000    0.000    0.000 core.py:6266(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6284(__array_finalize__)
        2    0.000    0.000    0.000    0.000 core.py:6348(__setattr__)
        1    0.000    0.000    0.000    0.000 core.py:6440(_extrema_operation)
        2    0.000    0.000    0.000    0.000 core.py:6449(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6557(_frommethod)
       26    0.000    0.000    0.000    0.000 core.py:6568(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6573(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:796(_DomainCheckInterval)
        1    0.000    0.000    0.000    0.000 core.py:8048(_convert2ma)
        3    0.000    0.000    0.000    0.000 core.py:805(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8061(__init__)
        8    0.000    0.000    0.000    0.000 core.py:8066(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:821(_DomainTan)
        1    0.000    0.000    0.000    0.000 core.py:829(__init__)
        1    0.000    0.000    0.000    0.000 core.py:839(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:845(__init__)
        1    0.000    0.000    0.000    0.000 core.py:860(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:866(__init__)
        1    0.000    0.000    0.000    0.000 core.py:876(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:882(__init__)
        1    0.000    0.000    0.000    0.000 core.py:892(_MaskedUFunc)
       53    0.000    0.000    0.000    0.000 core.py:893(__init__)
        1    0.000    0.000    0.000    0.000 core.py:902(_MaskedUnaryOperation)
       27    0.000    0.000    0.000    0.000 core.py:920(__init__)
        1    0.000    0.000    0.000    0.000 core.py:95(MaskedArrayFutureWarning)
        1    0.000    0.000    0.000    0.000 core.py:976(_MaskedBinaryOperation)
       18    0.000    0.000    0.000    0.000 core.py:996(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:131(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:166(Sniffer)
        1    0.000    0.000    0.000    0.000 csv.py:24(Dialect)
        1    0.000    0.000    0.001    0.001 csv.py:4(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:55(excel)
        1    0.000    0.000    0.000    0.000 csv.py:65(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:70(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:81(DictReader)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:177(_ndptr)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:323(_get_typecodes)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:332(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
      107    0.000    0.000    0.000    0.000 cycler.py:138(keys)
       19    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
      138    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       31    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
      270    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       29    0.000    0.000    0.001    0.000 cycler.py:349(by_key)
       58    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.003    0.003 cycler.py:41(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       17    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
       17    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        1    0.000    0.000    0.000    0.000 dates.py:1031(RRuleLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1136(AutoDateLocator)
        1    0.000    0.000    0.013    0.013 dates.py:134(<module>)
        1    0.000    0.000    0.000    0.000 dates.py:1370(YearLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1434(MonthLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1459(WeekdayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1487(DayLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1514(HourLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1534(MinuteLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1554(SecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1574(MicrosecondLocator)
        1    0.000    0.000    0.000    0.000 dates.py:1766(DateConverter)
        1    0.000    0.000    0.000    0.000 dates.py:322(strpdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:338(bytespdate2num)
        1    0.000    0.000    0.000    0.000 dates.py:581(DateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:723(IndexDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:747(AutoDateFormatter)
        1    0.000    0.000    0.000    0.000 dates.py:846(rrulewrapper)
        1    0.000    0.000    0.000    0.000 dates.py:951(DateLocator)
        1    0.000    0.000    0.000    0.000 datetime.py:1082(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1152(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1177(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1489(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1497(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2106(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2126(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:396(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:409(_check_time_fields)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:426(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:454(timedelta)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:646(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        2    0.000    0.000    0.000    0.000 datetime.py:804(__new__)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        2    0.000    0.000    0.002    0.001 decoder.py:332(decode)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:99(skipif)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:70(matrix)
        1    0.000    0.000  552.552  552.552 demo1.py:1(<module>)
       40    2.187    0.055   25.617    0.640 demo1.py:12(get_range)
       10    1.119    0.112   15.831    1.583 demo1.py:20(print_stats)
        5    0.261    0.052   16.093    3.219 demo1.py:28(print_experiment_stats)
  5000000   74.727    0.000  507.882    0.000 demo1.py:48(dp_age_histogram)
  5000000  161.083    0.000  161.083    0.000 demo1.py:56(<listcomp>)
        5    0.528    0.106  551.126  110.225 demo1.py:70(run_histogram_experiment)
        5    4.671    0.934  512.552  102.510 demo1.py:71(<listcomp>)
        5    0.458    0.092    0.458    0.092 demo1.py:72(<listcomp>)
        5    0.405    0.081    0.405    0.081 demo1.py:73(<listcomp>)
        1    0.594    0.594  552.029  552.029 demo1.py:85(demo)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
      130    0.000    0.000    0.000    0.000 deprecation.py:115(deprecated)
      130    0.001    0.000    0.007    0.000 deprecation.py:178(deprecate)
       18    0.000    0.000    0.000    0.000 deprecation.py:189(finalize)
      136    0.001    0.000    0.001    0.000 deprecation.py:23(_generate_deprecation_message)
      112    0.000    0.000    0.002    0.000 deprecation.py:237(finalize)
      2/1    0.000    0.000    0.000    0.000 deprecation.py:248(wrapper)
        6    0.000    0.000    0.000    0.000 deprecation.py:54(warn_deprecated)
        1    0.000    0.000    0.000    0.000 deprecation.py:6(MatplotlibDeprecationWarning)
        1    0.000    0.000    0.000    0.000 difflib.py:1707(HtmlDiff)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:43(SequenceMatcher)
        1    0.000    0.000    0.000    0.000 difflib.py:751(Differ)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:199(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:461(Bytecode)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       80    0.000    0.000    0.003    0.000 docstring.py:109(dedent_interpd)
       88    0.000    0.000    0.000    0.000 docstring.py:115(copy_dedent)
       88    0.000    0.000    0.001    0.000 docstring.py:122(<lambda>)
        4    0.000    0.000    0.000    0.000 docstring.py:35(__init__)
       84    0.000    0.000    0.000    0.000 docstring.py:40(__call__)
       45    0.000    0.000    0.000    0.000 docstring.py:44(update)
        1    0.000    0.000    0.000    0.000 docstring.py:61(Appender)
        1    0.000    0.000    0.000    0.000 docstring.py:7(Substitution)
       15    0.000    0.000    0.000    0.000 docstring.py:80(__init__)
       15    0.000    0.000    0.000    0.000 docstring.py:84(__call__)
      168    0.000    0.000    0.003    0.000 docstring.py:90(dedent)
       89    0.000    0.000    0.000    0.000 docstring.py:96(copy)
       89    0.000    0.000    0.000    0.000 docstring.py:98(do_copy)
       24    0.000    0.000    0.000    0.000 dviread.py:124(_dispatch)
       24    0.000    0.000    0.001    0.000 dviread.py:155(decorate)
       24    0.000    0.000    0.000    0.000 dviread.py:156(<listcomp>)
        1    0.000    0.000    0.001    0.001 dviread.py:173(Dvi)
        1    0.000    0.000    0.002    0.002 dviread.py:18(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:490(DviFont)
        1    0.000    0.000    0.000    0.000 dviread.py:580(Vf)
        1    0.000    0.000    0.000    0.000 dviread.py:711(Tfm)
        1    0.000    0.000    0.000    0.000 dviread.py:766(PsfontsMap)
        1    0.000    0.000    0.000    0.000 dviread.py:934(Encoding)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
       19    0.002    0.000    0.004    0.000 enum.py:134(__new__)
       19    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
       19    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
      215    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       53    0.000    0.000    0.000    0.000 enum.py:197(<genexpr>)
      265    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
     2212    0.002    0.000    0.007    0.000 enum.py:283(__call__)
       19    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
      265    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       16    0.000    0.000    0.000    0.000 enum.py:359(__members__)
      342    0.000    0.000    0.001    0.000 enum.py:375(__setattr__)
       14    0.000    0.000    0.004    0.000 enum.py:388(_create_)
        1    0.000    0.000    0.000    0.000 enum.py:41(_make_class_unpicklable)
       52    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
       52    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
       19    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
     2198    0.001    0.000    0.001    0.000 enum.py:525(__new__)
        5    0.000    0.000    0.000    0.000 enum.py:545(_generate_next_value_)
       50    0.000    0.000    0.000    0.000 enum.py:602(name)
       23    0.000    0.000    0.000    0.000 enum.py:607(value)
       13    0.000    0.000    0.005    0.000 enum.py:612(_convert)
       19    0.000    0.000    0.000    0.000 enum.py:63(__init__)
       13    0.000    0.000    0.001    0.000 enum.py:633(<listcomp>)
      135    0.000    0.000    0.000    0.000 enum.py:638(<lambda>)
      265    0.001    0.000    0.001    0.000 enum.py:69(__setitem__)
        4    0.000    0.000    0.000    0.000 enum.py:772(_missing_)
        4    0.000    0.000    0.000    0.000 enum.py:779(_create_pseudo_member_)
        7    0.000    0.000    0.000    0.000 enum.py:809(__or__)
      180    0.000    0.000    0.001    0.000 enum.py:815(__and__)
       10    0.000    0.000    0.000    0.000 enum.py:834(_high_bit)
        4    0.000    0.000    0.000    0.000 enum.py:851(_decompose)
        4    0.000    0.000    0.000    0.000 enum.py:869(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:880(<lambda>)
       14    0.000    0.000    0.000    0.000 enum.py:886(_power_of_two)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
        1    0.000    0.000    0.000    0.000 error.py:16(VerificationError)
        1    0.000    0.000    0.000    0.000 error.py:19(URLError)
        1    0.000    0.000    0.000    0.000 error.py:2(<module>)
        1    0.000    0.000    0.000    0.000 error.py:2(FFIError)
        1    0.000    0.000    0.000    0.000 error.py:20(VerificationMissing)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:5(CDefError)
        1    0.000    0.000    0.000    0.000 error.py:73(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errors.py:104(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:107(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:76(InvalidBase64LengthDefect)
